Category: All categories,,
,,
Month,Polyamory: (United States),Year
2004-01,11,2004
2004-02,10,2004
2004-03,8,2004
2004-04,9,2004
2004-05,11,2004
2004-06,11,2004
2004-07,9,2004
2004-08,9,2004
2004-09,9,2004
2004-10,9,2004
2004-11,8,2004
2004-12,11,2004
2005-01,8,2005
2005-02,8,2005
2005-03,8,2005
2005-04,8,2005
2005-05,10,2005
2005-06,9,2005
2005-07,9,2005
2005-08,8,2005
2005-09,6,2005
2005-10,10,2005
2005-11,10,2005
2005-12,9,2005
2006-01,7,2006
2006-02,8,2006
2006-03,10,2006
2006-04,9,2006
2006-05,8,2006
2006-06,8,2006
2006-07,8,2006
2006-08,8,2006
2006-09,7,2006
2006-10,9,2006
2006-11,9,2006
2006-12,7,2006
2007-01,7,2007
2007-02,8,2007
2007-03,7,2007
2007-04,9,2007
2007-05,8,2007
2007-06,9,2007
2007-07,7,2007
2007-08,8,2007
2007-09,7,2007
2007-10,7,2007
2007-11,9,2007
2007-12,8,2007
2008-01,7,2008
2008-02,7,2008
2008-03,8,2008
2008-04,8,2008
2008-05,8,2008
2008-06,8,2008
2008-07,8,2008
2008-08,9,2008
2008-09,8,2008
2008-10,8,2008
2008-11,6,2008
2008-12,7,2008
2009-01,8,2009
2009-02,8,2009
2009-03,7,2009
2009-04,7,2009
2009-05,7,2009
2009-06,7,2009
2009-07,9,2009
2009-08,10,2009
2009-09,26,2009
2009-10,11,2009
2009-11,9,2009
2009-12,9,2009
2010-01,9,2010
2010-02,11,2010
2010-03,8,2010
2010-04,8,2010
2010-05,10,2010
2010-06,9,2010
2010-07,11,2010
2010-08,10,2010
2010-09,9,2010
2010-10,10,2010
2010-11,8,2010
2010-12,8,2010
2011-01,11,2011
2011-02,9,2011
2011-03,8,2011
2011-04,8,2011
2011-05,10,2011
2011-06,9,2011
2011-07,14,2011
2011-08,10,2011
2011-09,9,2011
2011-10,9,2011
2011-11,9,2011
2011-12,9,2011
2012-01,12,2012
2012-02,10,2012
2012-03,9,2012
2012-04,9,2012
2012-05,10,2012
2012-06,10,2012
2012-07,21,2012
2012-08,24,2012
2012-09,19,2012
2012-10,15,2012
2012-11,13,2012
2012-12,13,2012
2013-01,11,2013
2013-02,12,2013
2013-03,18,2013
2013-04,14,2013
2013-05,13,2013
2013-06,14,2013
2013-07,18,2013
2013-08,19,2013
2013-09,20,2013
2013-10,16,2013
2013-11,16,2013
2013-12,14,2013
2014-01,13,2014
2014-02,13,2014
2014-03,14,2014
2014-04,13,2014
2014-05,15,2014
2014-06,15,2014
2014-07,16,2014
2014-08,13,2014
2014-09,22,2014
2014-10,16,2014
2014-11,15,2014
2014-12,18,2014
2015-01,19,2015
2015-02,18,2015
2015-03,16,2015
2015-04,17,2015
2015-05,16,2015
2015-06,18,2015
2015-07,23,2015
2015-08,17,2015
2015-09,16,2015
2015-10,18,2015
2015-11,18,2015
2015-12,17,2015
2016-01,19,2016
2016-02,16,2016
2016-03,17,2016
2016-04,16,2016
2016-05,17,2016
2016-06,19,2016
2016-07,18,2016
2016-08,17,2016
2016-09,16,2016
2016-10,18,2016
2016-11,19,2016
2016-12,19,2016
2017-01,18,2017
2017-02,21,2017
2017-03,20,2017
2017-04,20,2017
2017-05,18,2017
2017-06,25,2017
2017-07,23,2017
2017-08,22,2017
2017-09,22,2017
2017-10,21,2017
2017-11,21,2017
2017-12,21,2017
2018-01,21,2018
2018-02,25,2018
2018-03,30,2018
2018-04,28,2018
2018-05,25,2018
2018-06,33,2018
2018-07,37,2018
2018-08,26,2018
2018-09,21,2018
2018-10,23,2018
2018-11,28,2018
2018-12,26,2018
2019-01,22,2019
2019-02,25,2019
2019-03,25,2019
2019-04,22,2019
2019-05,29,2019
2019-06,61,2019
2019-07,31,2019
2019-08,30,2019
2019-09,26,2019
2019-10,28,2019
2019-11,30,2019
2019-12,29,2019
2020-01,28,2020
2020-02,28,2020
2020-03,22,2020
2020-04,23,2020
2020-05,21,2020
2020-06,25,2020
2020-07,36,2020
2020-08,25,2020
2020-09,25,2020
2020-10,26,2020
2020-11,27,2020
2020-12,31,2020
2021-01,39,2021
2021-02,33,2021
2021-03,39,2021
2021-04,100,2021
2021-05,61,2021
2021-06,43,2021
2021-07,37,2021
2021-08,34,2021
2021-09,30,2021
2021-10,39,2021
2021-11,37,2021
2021-12,31,2021
2022-01,37,2022
2022-02,35,2022
2022-03,37,2022
2022-04,38,2022
2022-05,36,2022
2022-06,52,2022
2022-07,39,2022
2022-08,33,2022
2022-09,35,2022
2022-10,36,2022
2022-11,39,2022
2022-12,41,2022
2023-01,34,2023
2023-02,28,2023
2023-03,31,2023
2023-04,30,2023
2023-05,27,2023
2023-06,34,2023
2023-07,28,2023
2023-08,26,2023
2023-09,24,2023
2023-10,23,2023
2023-11,26,2023
2023-12,23,2023
2024-01,26,2024
2024-02,30,2024
2024-03,27,2024
