"caseid_new","w5_duration","w5_source","w5_complete","w5_status","w5x_qualified","w5x_marry","w5x_last","w5x_year","w5x_civil","w5x_month","w5x_civyear","w5x_civmonth","w5_q1","w5_q2","w5_sex_frequency","w5_p_monogamy","w5_identity","w5_outness","w5_q3","w5_q4","w5_mbtiming_month","w5_mbtiming_year","w5_q5","w5_q6","w5_q7","w5_mar_year","w5_mar_month","w5_q8","w5_civ_year","w5_civ_month","w5_q9","w5_q10","w5_nonmbtiming_year","w5_nonmbtiming_month","w5_broke_up","w5_HCMST_interview_fin_yrmo","w2345_combo_breakup","responded_to_w234or5","pp5_ppage","pp5_ppagecat","pp5_ppagect4","pp5_ppeduc","pp5_ppeducat","pp5_ppethm","pp5_ppgender","pp5_pphhhead","pp5_pphhsize","pp5_pphouse","pp5_ppincimp","pp5_ppmarit","pp5_ppcmdate_yrmo","pp5_newer","pp5_ppmsacat","pp5_ppreg4","pp5_ppreg9","pp5_pprent","pp5_ppt01","pp5_ppt25","pp5_ppt612","pp5_ppt1317","pp5_ppt18ov","pp5_ppwork","pp5_ppnet","ppmarit_2014","ppcmarit_2014_yrmo","ppmarit_2013","ppcmarit_2013_yrmo","ppmarit_2012","ppcmarit_2012_yrmo","ppmarit_2011","ppcmarit_2011_yrmo","ppmarit_2010","ppcmarit_2010_yrmo","ppmarit_2009","ppcmarit_2009_yrmo","ppmarit_2007","ppcmarit_2007_yrmo"
22526,1,1,1,1,1,2,1,2013,0,3,2013,3,0,0,3,1,3,2,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,201412,0,1,58,5,3,12,4,4,2,1,2,3,6,6,201405,0,1,2,3,2,0,0,0,0,2,6,1,6,201405,6,201305,6,201207,6,201107,6,201007,6,200905,6,200711
23286,0,1,1,1,1,1,1,2013,1,3,2013,3,1,1,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201412,0,1,34,2,2,14,4,1,2,1,4,2,11,1,201405,0,1,4,9,1,1,1,0,0,2,1,1,1,201405,1,201309,6,201208,1,201106,6,201007,1,200904,6,200711
25495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,4,3,9,2,2,2,1,2,3,8,5,201405,1,1,3,7,2,0,0,0,0,2,1,1,5,201405,5,201305,5,201206,5,201106,5,201007,5,200904,5,200711
26315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,3,2,11,3,1,1,1,1,3,11,5,201405,1,1,3,5,1,0,0,0,0,1,1,1,5,201405,5,201309,5,201206,5,201106,5,201007,5,200905,5,200710
27355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,2,9,2,1,1,1,2,1,11,5,201405,1,1,3,5,1,0,0,0,0,2,2,1,5,201405,5,201305,5,201206,5,201106,5,201005,5,200904,5,200710
27695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,7,4,10,3,1,1,1,1,3,6,5,201306,0,1,2,3,2,0,0,0,0,1,5,1,0,0,5,201306,5,201208,5,201107,5,201007,5,200904,5,200711
28536,1,1,1,1,1,2,1,2013,0,3,2013,3,0,0,5,2,2,1,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,201412,0,1,59,5,3,12,4,1,1,1,2,1,19,6,201405,1,1,2,4,1,0,0,0,0,2,1,1,6,201405,6,201305,6,201206,6,201107,6,201007,6,200904,6,200710
29584,1,1,1,1,1,1,1,2013,0,3,2013,3,1,1,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201412,0,1,63,5,4,13,4,1,1,0,3,1,19,1,201405,1,1,3,5,1,0,0,0,0,3,5,1,1,201405,1,201305,1,201208,4,201107,4,201007,4,200904,4,200710
30393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,3,9,2,1,1,1,1,3,10,3,201404,1,1,2,3,2,0,0,0,0,1,1,1,3,201404,3,201305,3,201206,3,201107,3,201007,3,200904,3,200710
31456,0,0,0,2,1,2,5,2009,0,2,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,3,10,3,1,1,1,3,1,13,6,200904,0,1,3,6,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,6,200904,6,200803
32656,0,0,0,4,1,2,3,2011,1,6,2011,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,6,4,13,4,1,2,1,2,1,17,6,200710,0,1,1,2,1,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6,200710
33536,14,1,1,2,1,2,1,2013,0,3,2013,3,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,2014,2,1,201412,1,1,59,5,3,14,4,1,1,1,2,2,19,6,201207,0,1,4,9,1,0,0,0,0,2,2,1,0,0,0,0,6,201207,6,201107,6,201007,6,200905,6,200809
34341,4241,1,1,2,1,1,1,2013,0,3,2013,3,1,1,5,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201412,0,1,40,3,2,12,4,1,2,1,2,3,14,1,201007,0,1,4,9,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,201007,1,200905,1,200801
35653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,71,6,4,13,4,1,1,1,2,1,11,6,201409,1,1,4,8,1,0,0,0,0,2,1,1,6,201409,6,201305,5,201208,5,201107,5,201008,5,200904,3,200712
36493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,54,4,3,12,4,1,1,1,1,3,9,3,201209,0,1,2,4,2,0,0,0,0,1,1,1,0,0,0,0,3,201209,3,201107,3,201004,3,200904,3,200711
37656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,6,4,12,4,1,2,1,2,2,9,6,201405,1,1,1,2,1,0,0,0,0,2,5,1,6,201405,6,201305,3,201207,3,201107,3,201007,3,200905,6,200710
38895,0,0,0,2,1,2,3,2011,0,4,2011,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78,7,4,10,3,1,1,0,1,1,4,3,201208,0,1,4,9,2,0,0,0,0,1,5,1,0,0,0,0,3,201208,3,201107,3,201007,3,200908,5,200807
